1 Section 01-17 se
constitution -(005 Equality is guaranteed by the Constitution.)	憲法
applause -(228 The astronauts were greeted with spontaneous applause.)	拍手、賞賛

spontaneous -(228 The astronauts were greeted with spontaneous applause.)	(形)自然に生じる

endangered -(229 A fund was set up with a view to preserving our endangered planet.)	絶滅の危機に瀕した

with a view to doing -(229 A fund was set up with a view to preserving our endangered planet.)	doingするつもりで

massive -(230 The massive flood paralyzed the local transportation network.)	極めて大きい

paralyze... -(230 The massive flood paralyzed the local transportation network.)	...を麻痺させる

transportation -(230 The massive flood paralyzed the local transportation network.)	交通[輸送]機関

equator -(231 The equator divides the globe into two hemispheres.)	赤道

hemisphere -(231 The equator divides the globe into two hemispheres.)	半球

cruel -(232 I think it's cruel to trap animals for fur coats.)	残酷な

conservation -(233 The organization plays a principal role in wildlife conservation.)	保存、保護

be on the verge of ... -(234 Many fragile species are on the verge of extinction.)	...の寸前である

extinction -(234 Many fragile species are on the verge of extinction.)	絶滅

drought -(235 The prolonged drought did severe damage to the crops.)	(名)干ばつ

prolonged -(235 The prolonged drought did severe damage to the crops.)	(形)長引く

emission -(237 It is said that global warming is directly related to carbon dioxide emissions.)	(名)排出

call on A to do -(239 The committee called on all nations to work side by side to curb air pollution.)	Aにdoするように求める

curb ... -(239 The committee called on all nations to work side by side to curb air pollution.)	...を抑制する

side by side -(239 The committee called on all nations to work side by side to curb air pollution.)	協力し合って

glacier -(240 A satellite was launched into orbit to monitor melting glaciers.)	氷河

orbit -(240 A satellite was launched into orbit to monitor melting glaciers.)	軌道

blessing -(241 The ecologist has warned us time and again that petroleum is not only a blessing but also a curse.)	天の恵み

curse -(241 The ecologist has warned us time and again that petroleum is not only a blessing but also a curse.)	(名)災いのもと

petroleum -(241 The ecologist has warned us time and again that petroleum is not only a blessing but also a curse.)	石油

be abundant in ... -(242 The continent is abundant in fossil fuels.)	...が豊富である

region -(243 The region is relatively rich in mineral resources.)	(名)地方、地域

relatively -(243 The region is relatively rich in mineral resources.)	(副)比較的

account for ... -(244 Wheat accounts for approximately two-thirds of agricultural production in the area.)	...を占める

approximately -(244 Wheat accounts for approximately two-thirds of agricultural production in the area.)	(副)ほぼ、およそ

be indispensable for[to] ... -(245 Fertile soil is indispensable for a good harvest.)	...に不可欠である

fertile -(245 Fertile soil is indispensable for a good harvest.)	肥沃な

soil -(245 Fertile soil is indispensable for a good harvest.)	土、土壌

be characteristic of ... -(246 A humid climate is characteristic of the peninsula.)	...の特徴である

erupt -(247 The active volcano erupts at regular intervals.)	噴火する

Atlantic -(248 The Panama Canal connects the Atlantic with the Pacific.)	大西洋

Pacific -(248 The Panama Canal connects the Atlantic with the Pacific.)	太平洋

be accompanied by ... -(250 More often than not, famine is accompanied by plague.)	...が付随して起こる

famine -(250 More often than not, famine is accompanied by plague.)	飢饉

more often than not -(250 More often than not, famine is accompanied by plague.)	たいてい

plague -(250 More often than not, famine is accompanied by plague.)	疫病

devastating -(251 A devastating earthquake hit the state capital, leaving tens of thousands of residents homeless.)	壊滅的な

give way -(252 Watch out! The ceiling is giving way!)	崩れ落ちる

be likely to do -(253 The weather forecast says the typhoon is likely to accelerate and approach the coast.)	doしそうだ

it's up in the air -(254 "It's still up in the air whether the game will be called off or not." "So what? It makes no difference to me.")	(どうなるかが)決まっていない

make no difference (to ...) -(254 "It's still up in the air whether the game will be called off or not." "So what? It makes no difference to me.")	(...にとっては)どちらでも同じ

identify A with B -(256 For the most part, modernization is identified with westernization.)	AをBと同じものだと考える

modernization -(256 For the most part, modernization is identified with westernization.)	近代化

westernization -(256 For the most part, modernization is identified with westernization.)	西欧化

appear (to be) ... -(257 Urban culture appears to be attractive to many people, in particular, to younger people.)	...のように見える

A stands for ... -(258 AI stands for "artificial intelligence.")	Aは...の略[頭文字]である

make the best of... -(260 My income is not adequate to provide for my family of four, but we have to make the best of it.)	...(よくない状況)の中で何とかやっていく

rush (...) -(264 More and more people are rushing to make use of the interactive nature of the medium.)	焦る、焦ってする

have (程度) to do with ... -(265 Innovation has something to do with the ability to notice unusual phenomena.)	...と(程度の)関係がある

transform ... (into A) -(267 The once desolate valley was transformed into a thriving hub of hi-tech business.)	...を(Aへと)一変させる

invention -(268 Although there's still plenty of room for improvement, his invention is superior to conventional equipment in every respect.)	発明品

attribute A to B -(269 The strength of the firm is attributed to its unique and future-oriented strategies.)	Aの起因をBだと考える

integrate ... (into A) -(270 SONY has integrated a wide range of functions into this cool gadget. It's catching on from coast to coast.)	...を(Aに)統合させる

close at hand -(271 This tool comes in handy, so I always keep it close at hand.)	(副,形)すぐ近くに[の]

the other way around -(272 "In general, consumers prefer quantity to quality." "It's the other way around today.")	(副,形)正反対に[な]

under construction -(274 The factory now under construction will assemble 1,000 VCR units per day.)	(形)建設中の

commerce -(276 In those days, the gigantic corporation had a virtual monopoly over internal commerce.)	商取引、商業

internal -(276 In those days, the gigantic corporation had a virtual monopoly over internal commerce.)	国内の

virtual -(276 In those days, the gigantic corporation had a virtual monopoly over internal commerce.)	事実上の

come into being -(277 With restrictions removed, thousands of new enterprises have come into being.)	誕生する

restriction -(277 With restrictions removed, thousands of new enterprises have come into being.)	制限

be in danger (of ...) -(278 As a result of his ridiculous venture, he is in danger of going bankrupt.)	(...という)危険な状態にある

ridiculous -(278 As a result of his ridiculous venture, he is in danger of going bankrupt.)	(形)ばかげた

drop ... a line -(280 "I'm going to be transferred to an overseas branch." "Oh, I'll miss you. Please drop me a line.")	...に手紙を書く

transfer ... (from A) to B -(280 "I'm going to be transferred to an overseas branch." "Oh, I'll miss you. Please drop me a line.")	...を(Aから)Bに転任させる


3 Section 24-29 se
apparently ~ -(282 Apparently, Nick wasn't willing to take on the task because it would just add to his burdens.)	どうやら~のようだ

burden -(282 Apparently, Nick wasn't willing to take on the task because it would just add to his burdens.)	負担

count on ... -(285 "Nick, I'm counting on you." "OK, I'll see to it." "Thanks, I appreciate it." "Don't mention it.")	...に頼る

see to ... -(285 "Nick, I'm counting on you." "OK, I'll see to it." "Thanks, I appreciate it." "Don't mention it.")	必ず...する

be around -(286 He pretends to be enthusiastic when his boss is around.)	(自分の)近くにいる

at the expense of ...-(287 He got promoted at the expense of his colleagues. He should be ashamed of himself.)	...を犠牲にして

be ashamed of ... -(287 He got promoted at the expense of his colleagues. He should be ashamed of himself.)	...を恥ずかしく思う

colleague -(287 He got promoted at the expense of his colleagues. He should be ashamed of himself.)	同僚

lay ... off -(288 As the recession set in, temporary employees were laid off one after another.)	...を解雇する

recession -(288 As the recession set in, temporary employees were laid off one after another.)	景気後退

set in -(288 As the recession set in, temporary employees were laid off one after another.)	(好ましくないことが)始まる

be out of work -(289 Nowadays, many people are out of work against their will. Who is responsible for that?)	失業中である

pessimistic -(290 I've gotten pessimistic, and I'm worried about something I would never have been concerned about before.)	悲観的な

be confronted with ... -(291 Today, even white-collar workers are confronted with great hardships.)	...に直面する

currency -(292 The authorities are striving in vain to stabilize the currency.)	(名)通貨

stabilize ... -(292 The authorities are striving in vain to stabilize the currency.)	...を安定させる

strive -(292 The authorities are striving in vain to stabilize the currency.)	懸命に努力する

deficit -(293 We've come to the conclusion that nothing is more urgent than reducing Japan's huge deficit)	(名)赤字

distribute ... -(294 The questionnaires were distributed at random.)	...を配る

questionnaire -(294 The questionnaires were distributed at random.)	アンケート用紙

blank -(295 All you have to do is fill in the blanks below. (Please print in black or blue ink.))	(名)余白、空欄

excursion -(296 In addition to a 10% discount, you can pick out an optional excursion for free.)	日帰りツアー

prior to ... -(299 Be sure to check in at least 45 minutes prior to departure time.)	...より前に

be free of[from] ... -(302 This plastic garbage bag is free of hazardous chemicals.)	...とは無縁である

hazardous -(302 This plastic garbage bag is free of hazardous chemicals.)	有害な

be subject to ... -(307 Littering in this facility is subject to a maximum fine of $500.)	...を受ける場合がある

fine -(307 Littering in this facility is subject to a maximum fine of $500.)	罰金

litter (...) -(307 Littering in this facility is subject to a maximum fine of $500.)	(...に)ゴミを投げ捨てる

be packed -(308 That restaurant is always packed. We'd better make a reservation beforehand.)	混んでいる

beforehand -(308 That restaurant is always packed. We'd better make a reservation beforehand.)	(副)事前に

get back to ... -(309 "Sorry to interrupt your meal but I'd like a word with you in private." "Can I get back to you later?")	...に連絡しなおす[会いに行く]

in private -(309 "Sorry to interrupt your meal but I'd like a word with you in private." "Can I get back to you later?")	内密に

be astonished at[by] ... -(310 The cook was astonished at his incredible appetite.)	...にたいへん驚く

incredible -(310 The cook was astonished at his incredible appetite.)	信じられない

curious -(311 "What's going on down there? I'm curious." "I have no idea.")	好奇心旺盛な、知りたがっている

catch[get/have] a glimpse of ... -(312 Excited fans were hanging around the rear exit hoping to catch a glimpse of Michael.)	...を一瞬目にする

hang around -(312 Excited fans were hanging around the rear exit hoping to catch a glimpse of Michael.)	群がる、たむろする

rear -(312 Excited fans were hanging around the rear exit hoping to catch a glimpse of Michael.)	(形)後方の

autograph -(313 On encountering the celebrity, they asked for his autograph.)	サイン

celebrity -(313 On encountering the celebrity, they asked for his autograph.)	有名人

on doing -(313 On encountering the celebrity, they asked for his autograph.)	doingするとすぐに

diarrhea -(314 Whenever I go abroad, I suffer from jet lag and diarrhea.)	下痢

dizzy -(315 "I feel sort of dizzy and I feel like throwing up." "You look pale!")	(形)目まいがする

throw up -(315 "I feel sort of dizzy and I feel like throwing up." "You look pale!")	吐く

come down with ... -(317 "I'm afraid I'm coming down with something." "You should take a day off.")	...で体調を崩す

beverage -(318 Some of the ingredients in this beverage are harmful, especially if you are pregnant.)	(水以外の)飲み物

harmful (to...) -(318 Some of the ingredients in this beverage are harmful, especially if you are pregnant.)	(...に対して)有害な

ingredient -(318 Some of the ingredients in this beverage are harmful, especially if you are pregnant.)	成分、原料

infant -(319 Good nutrition is vital for an infant's growth.)	乳児、幼児

vital -(319 Good nutrition is vital for an infant's growth.)	極めて重要な

circulation -(320 Moderate exercise stimulates the circulation of the blood.)	循環

moderate -(320 Moderate exercise stimulates the circulation of the blood.)	適度な

stimulate ... -(320 Moderate exercise stimulates the circulation of the blood.)	(動)...を刺激する

for the time being -(321 My physician advised me to refrain from alcohol for the time being.)	当分の間は

physician -(321 My physician advised me to refrain from alcohol for the time being.)	医師

get into shape -(322 I do want to get into shape and lose some weight, so I go swimming every morning.)	体調を良くする

nasty -(323 He caught a nasty cold because he stayed up late last night.)	(形)ひどい

surgeon -(324 The surgeon persuaded him to undergo an organ transplant.)	外科医

transplant -(324 The surgeon persuaded him to undergo an organ transplant.)	移植

bedridden -(325 Since our father is bedridden, we take turns looking after him.)	(形)寝たきりの

take turns (doing) -(325 Since our father is bedridden, we take turns looking after him.)	(doingを)交代でする

excessive -(326 Our hypothesis is that eating excessive amounts of junk food contributes to early mortality.)	過度の

hypothesis -(326 Our hypothesis is that eating excessive amounts of junk food contributes to early mortality.)	仮説

mortality -(326 Our hypothesis is that eating excessive amounts of junk food contributes to early mortality.)	(名)死ぬべき運命

infection -(327 The government did not take appropriate measures to prevent the infection from spreading.)	伝染、感染

be obliged to do -(328 The minister was obliged to resign from the Cabinet.)	doせざるを得ない

minister -(328 The minister was obliged to resign from the Cabinet.)	大臣

compulsory -(329 Many people regard the current compulsory education system as being obsolete.)	強制的な、義務の

encourage A to do -(330 Many people encouraged me to fulfill my ambitions.)	Aにdoするように励ます

take (...) over -(335 As soon as he graduated from Keio University, he took over his family's business.)	(...を)引き継ぐ

cut out for ... -(336 You aren't cut out for the military because of its rigid discipline.)	...(職種)に向いている

discipline -(336 You aren't cut out for the military because of its rigid discipline.)	規律

rigid -(336 You aren't cut out for the military because of its rigid discipline.)	(規則などが)厳格な

at all costs -(337 I am determined to make a living as a playwright at all costs.)	どんな犠牲を払っても

perspective -(338 As he grew up, he learned to put things in perspective.)	(名)バランスの取れた見方

conformity -(339 Conformity is an essential element of our homogeneous community.)	(名)体制・社会通念などに従うこと

homogeneous -(339 Conformity is an essential element of our homogeneous community.)	均質な

mold -(340 I'd rather go my own way than toil away for a company. Trying to fit into a mold gets me nowhere!)	(名)型

toil away -(340 I'd rather go my own way than toil away for a company. Trying to fit into a mold gets me nowhere!)	ひたすら[あくせく]働く

give in (to ...) -(341 Tom takes after his uncle in personality. I mean, he is obstinate by nature. He never gives in.)	(...に)降参する

obstinate -(341 Tom takes after his uncle in personality. I mean, he is obstinate by nature. He never gives in.)	頑固な

take after ... -(341 Tom takes after his uncle in personality. I mean, he is obstinate by nature. He never gives in.)	...に似ている

threat -(343 I'll stand up for what I believe in and won't yield to any threats.)	脅威、脅迫

yield (to ...) -(343 I'll stand up for what I believe in and won't yield to any threats.)	(...に)屈する

conquer ... -(344 "If only I could conquer my weaknesses!" "It's up to you.")	...を克服する

if only ~ -(344 "If only I could conquer my weaknesses!" "It's up to you.")	~でありさえすればいいのになあ

make the most of ... -(345 You should make the most of this rare opportunity to demonstrate your talent.)	...(有利な状況)を最大限利用する

have faith in ... -(346 You won't let me down. I have great faith in you. You can make it!)	...を信頼している

prestigious -(348 In 1995, Ando received architecture's most prestigious award.)	権威のある

extraordinary -(349 In the face of adversity, Mike accomplished an extraordinary feat. He deserves praise.)	並外れた

in the face of ... -(349 In the face of adversity, Mike accomplished an extraordinary feat. He deserves praise.)	...をものともせず

eloquent -(350 The audience was impressed by his eloquent lecture.)	(形)説得力のある

humble -(351 From a humble background, John achieved worldwide fame.)	庶民の

accumulate ... -(352 He accumulated a tremendous fortune during the postwar era.)	...をためる

era -(352 He accumulated a tremendous fortune during the postwar era.)	時代

postwar -(352 He accumulated a tremendous fortune during the postwar era.)	戦後の

tremendous -(352 He accumulated a tremendous fortune during the postwar era.)	大きな、莫大な

generous -(353 He used to be well off and generous, but now he lives from hand to mouth.)	(形)気前のよい

live from hand to mouth -(353 He used to be well off and generous, but now he lives from hand to mouth.)	その日暮らしをする

well off -(353 He used to be well off and generous, but now he lives from hand to mouth.)	(形)裕福な


4 Section 30-33 se
by no means ... -(354 Nick is by no means satisfied with the reward. He is selfish and greedy.)	決して...しない

greedy -(354 Nick is by no means satisfied with the reward. He is selfish and greedy.)	欲の深い

reward -(354 Nick is by no means satisfied with the reward. He is selfish and greedy.)	(名)見返り、報酬

There you go again! -(355 "You owe me $200 altogether, Bob. When are you going to pay me back?" "I'm sorry. I'm hard up." "There you go again!")	またそれだ、また始まったよ！

be hard up -(355 "You owe me $200 altogether, Bob. When are you going to pay me back?" "I'm sorry. I'm hard up." "There you go again!")	お金に困っている

amount to ... -(356 To Brian's surprise, his debt amounted to a considerable sum.)	(動)...に達する

cling to ... -(357 Stop clinging to your glory days, or you'll be left behind.)	...にしがみつく

glory -(357 Stop clinging to your glory days, or you'll be left behind.)	栄光、名誉

leave ... behind -(357 Stop clinging to your glory days, or you'll be left behind.)	...を置き去りにする

adapt to ... -(358 You cannot escape from today's harsh realities, so you must adapt to them.)	...に順応する

harsh -(358 You cannot escape from today's harsh realities, so you must adapt to them.)	厳しい

one of these days -(359 Prosperity does not last forever. In other words, it will come to an end one of these days.)	いつかは、近いうちに

prosperity -(359 Prosperity does not last forever. In other words, it will come to an end one of these days.)	繁栄

